L -393, 559, 5, -405, 559, 4, 0, 0, 0
L -405, 559, 4, -407, 560, 4, 0, 0, 0
L -407, 560, 4, -408, 562, 4, 0, 0, 0
L -408, 562, 4, -408, 564, 4, 0, 0, 0
L -408, 564, 4, -408, 599, 7, 0, 0, 0
L -408, 599, 7, -410, 599, 7, 0, 0, 0
L -410, 599, 7, -465, 599, 4, 0, 0, 0
L -465, 599, 4, -465, 470, 10, 0, 0, 0
L -465, 470, 10, -463, 470, 10, 0, 0, 0
L -463, 470, 10, -452, 470, 4, 0, 0, 0
L -452, 470, 4, -451, 470, 4, 0, 0, 0
L -451, 470, 4, -441, 471, 4, 0, 0, 0
L -441, 471, 4, -441, 473, 4, 0, 0, 0
L -441, 473, 4, -440, 474, 4, 0, 0, 0
L -440, 474, 4, -441, 476, 4, 0, 0, 0
L -441, 476, 4, -440, 475, 4, 0, 0, 0
L -440, 475, 4, -438, 474, 4, 0, 0, 0
L -438, 474, 4, -438, 461, 4, 0, 0, 0
L -438, 461, 4, -439, 459, 4, 0, 0, 0
L -439, 459, 4, -441, 458, 4, 0, 0, 0
L -441, 458, 4, -443, 458, 4, 0, 0, 0
L -443, 458, 4, -445, 459, 5, 0, 0, 0
L -445, 459, 5, -448, 459, 7, 0, 0, 0
L -448, 459, 7, -449, 459, 8, 0, 0, 0
L -449, 459, 8, -452, 459, 8, 0, 0, 0
L -452, 459, 8, -462, 459, 4, 0, 0, 0
L -462, 459, 4, -468, 459, 4, 0, 0, 0
L -468, 459, 4, -470, 458, 4, 0, 0, 0
L -470, 458, 4, -489, 445, 7, 0, 0, 0
L -489, 445, 7, -489, 443, 7, 0, 0, 0
L -489, 443, 7, -490, 412, 4, 0, 0, 0
L -490, 412, 4, -492, 412, 4, 0, 0, 0
L -492, 412, 4, -493, 411, 6, 0, 0, 0
L -493, 411, 6, -503, 411, 9, 0, 0, 0
L -503, 411, 9, -509, 411, 8, 0, 0, 0
L -509, 411, 8, -509, 381, 8, 0, 0, 0
L -509, 381, 8, -508, 380, 8, 0, 0, 0
L -508, 380, 8, -508, 379, 8, 0, 0, 0
L -508, 379, 8, -507, 375, 9, 0, 0, 0
L -507, 375, 9, -506, 373, 9, 0, 0, 0
L -506, 373, 9, -506, 371, 9, 0, 0, 0
L -506, 371, 9, -507, 363, 4, 0, 0, 0
L -507, 363, 4, -507, 362, 4, 0, 0, 0
L -507, 362, 4, -508, 354, 4, 0, 0, 0
L -508, 354, 4, -509, 352, 4, 0, 0, 0
L -509, 352, 4, -509, 351, 5, 0, 0, 0
L -509, 351, 5, -509, 346, 7, 0, 0, 0
L -509, 346, 7, -507, 346, 6, 0, 0, 0
L -507, 346, 6, -499, 346, 4, 0, 0, 0
L -499, 346, 4, -498, 347, 4, 0, 0, 0
L -498, 347, 4, -496, 347, 4, 0, 0, 0
L -496, 347, 4, -485, 348, 4, 0, 0, 0
L -485, 348, 4, -479, 348, 4, 0, 0, 0
L -479, 348, 4, -475, 346, 4, 0, 0, 0
L -475, 346, 4, -473, 346, 4, 0, 0, 0
L -473, 346, 4, -453, 346, 8, 0, 0, 0
L -453, 346, 8, -444, 346, 8, 0, 0, 0
L -427, 346, 8, -384, 346, 7, 0, 0, 0
L -384, 346, 7, -384, 361, 4, 0, 0, 0
L -384, 361, 4, -388, 370, 4, 0, 0, 0
L -388, 370, 4, -388, 385, 4, 0, 0, 0
L -388, 385, 4, -384, 394, 4, 0, 0, 0
L -384, 394, 4, -384, 404, 4, 0, 0, 0
L -384, 404, 4, -385, 406, 4, 0, 0, 0
L -385, 406, 4, -385, 426, 4, 0, 0, 0
L -385, 426, 4, -384, 432, 4, 0, 0, 0
L -384, 432, 4, -384, 441, 8, 0, 0, 0
L -384, 441, 8, -386, 442, 8, 0, 0, 0
L -386, 442, 8, -392, 449, 4, 0, 0, 0
L -392, 449, 4, -403, 459, 4, 0, 0, 0
L -403, 459, 4, -428, 459, 4, 0, 0, 0
L -428, 459, 4, -430, 458, 4, 0, 0, 0
L -430, 458, 4, -432, 458, 4, 0, 0, 0
L -432, 458, 4, -435, 461, 4, 0, 0, 0
L -435, 461, 4, -435, 471, 4, 0, 0, 0
L -435, 471, 4, -434, 474, 4, 0, 0, 0
L -434, 474, 4, -433, 475, 4, 0, 0, 0
L -433, 475, 4, -430, 475, 4, 0, 0, 0
L -430, 475, 4, -428, 474, 4, 0, 0, 0
L -428, 474, 4, -423, 470, 4, 0, 0, 0
L -423, 470, 4, -417, 470, 4, 0, 0, 0
L -417, 470, 4, -413, 470, 5, 0, 0, 0
L -413, 470, 5, -408, 470, 7, 0, 0, 0
L -408, 470, 7, -408, 472, 8, 0, 0, 0
L -408, 472, 8, -407, 524, 4, 0, 0, 0
L -407, 524, 4, -405, 526, 4, 0, 0, 0
L -405, 526, 4, -402, 526, 4, 0, 0, 0
L -402, 526, 4, -399, 526, 5, 0, 0, 0
L -399, 526, 5, -397, 526, 6, 0, 0, 0
L -397, 526, 6, -384, 526, 11, 0, 0, 0
L -384, 526, 11, -382, 526, 10, 0, 0, 0
L -382, 526, 10, -378, 527, 8, 0, 0, 0
L -378, 527, 8, -376, 528, 7, 0, 0, 0
L -376, 528, 7, -372, 531, 7, 0, 0, 0
L -372, 531, 7, -370, 535, 10, 0, 0, 0
L -370, 535, 10, -372, 536, 9, 0, 0, 0
L -372, 536, 9, -372, 537, 10, 0, 0, 0
L -372, 537, 10, -372, 539, 11, 0, 0, 0
L -372, 539, 11, -372, 549, 9, 0, 0, 0
L -372, 549, 9, -371, 551, 8, 0, 0, 0
L -371, 551, 8, -372, 553, 7, 0, 0, 0
L -372, 553, 7, -373, 554, 7, 0, 0, 0
L -373, 554, 7, -374, 555, 8, 0, 0, 0
L -374, 555, 8, -376, 556, 8, 0, 0, 0
L -376, 556, 8, -378, 558, 7, 0, 0, 0
L -378, 558, 7, -380, 558, 6, 0, 0, 0
L -380, 558, 6, -383, 559, 7, 0, 0, 0
L -383, 559, 7, -388, 559, 8, 0, 0, 0
L -388, 559, 8, -389, 559, 7, 0, 0, 0
L -432, 346, 8, -434, 345, 8, 0, 0, 0
L -434, 345, 8, -435, 341, 8, 0, 0, 0
L -435, 341, 8, -434, 331, 8, 0, 0, 0
L -434, 331, 8, -433, 329, 8, 0, 0, 0
L -433, 329, 8, -431, 329, 8, 0, 0, 0
L -431, 329, 8, -430, 331, 8, 0, 0, 0
L -430, 331, 8, -425, 336, 9, 0, 0, 0
L -425, 336, 9, -423, 336, 10, 0, 0, 0
L -423, 336, 10, -421, 336, 12, 0, 0, 0
L -421, 336, 12, -421, 334, 11, 0, 0, 0
L -421, 334, 11, -421, 316, 12, 0, 0, 0
L -421, 316, 12, -421, 306, 10, 0, 0, 0
L -421, 306, 10, -421, 304, 10, 0, 0, 0
L -421, 304, 10, -420, 301, 9, 0, 0, 0
L -420, 301, 9, -419, 300, 9, 0, 0, 0
L -419, 300, 9, -417, 300, 11, 0, 0, 0
L -417, 300, 11, -407, 300, 11, 0, 0, 0
L -407, 300, 11, -406, 299, 10, 0, 0, 0
L -406, 299, 10, -397, 290, 8, 0, 0, 0
